Public Food Key,Food Profile ID,Derivation,Food Name,Food Description,Sampling Details,Nitrogen Factor,Fat Factor,Specific Gravity,Analysed Portion,Unanalysed Portion,Classification,Classification Name
F006281,11005,Borrowed,"Oregano, dried","Dried, and sometimes ground, leaves of Oreganum vulgare, used as a culinary herb.","The majority of nutrient data were borrowed from USDA SR28, 02027 - Spices, oregano, dried. Alcohol, vitamins (retinol, folic acid, B12, D), iodine, caffeine and cholesterol were imputed zero.",6.25,0.8,0,100%,0%,31302,Herbs(dried) and spices
F006316,11006,Borrowed,"Paprika, dry powder",Dried and ground fruit of red capsicums (sweet red peppers).,"The majority of nutrient data were borrowed from the USDA SR28, 02028 Spices, paprika. Iodine was borrowed from NZ FOODfiles 2014, P45 - Spice, paprika. Alcohol, vitamins (folic acid, D), caffeine and cholesterol were imputed zero.",6.25,0.8,0,100%,0%,31302,Herbs(dried) and spices
F006618,14721,Borrowed,"Pepper, black, ground","Dried and ground unripe fruit of the pepper tree (Piper nigrum), used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02030 - Spices, pepper, black. Iodine was borrowed from NZ FOODfiles 2014, P7 - Spice, pepper, black. Alcohol, vitamins (B12, D folic acid), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
F007715,14730,Borrowed,"Rosemary, dried",Dried woody herb with fragrant needle-like green leaves on small stalks.,"The majority of nutrient data were borrowed from the USDA SR28, 02036 - Spices, rosemary, dried. Iodine was borrowed from NZ FOODfiles 2014, P52 - Herb, rosemary, dried. Tryptophan was imputed from dried, ground thyme. Alcohol, vitamins (B12, D, folic acid, retinol), iodine, caffeine and cholesterol were imputed zero.",6.25,0.8,0,100%,0%,31302,Herbs(dried) and spices
F007726,14731,Borrowed,"Sage, dried",Dry leaves of Salvia officinalis used as a herb.,"The majority of nutrient data were borrowed from USDA SR28, 02038, Spices, sage, ground. Iodine was borrowed from NZ FOODfiles 2014, P54 - Herb, sage, ground. Tryptophan was imputed from dried oregano. Alcohol, vitamins (B12, folic acid, retinol, D), iodine, caffeine and cholesterol were imputed zero.",6.25,0.8,0,100%,0%,31302,Herbs(dried) and spices
F009160,14732,Borrowed,"Thyme, dried, ground","Dried, and sometimes ground, leaves of Thymus vulgaris, used as a culinary herb.","The majority of nutrient data were borrowed from the USDA, record 02042 - Spices, thyme, dried. Iodine was borrowed from NZ FOODfiles 2014, P57 - Herb, thyme, dried, ground. Alcohol, vitamins (folic acid, B12, D) and caffeine were imputed zero.",6.25,0.8,0,100%,0%,31302,Herbs(dried) and spices
F009335,14733,Borrowed,"Turmeric, dried, ground","Dried and ground rhizome of Curcuma domestica or C. longa, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02043 - Spices, turmeric, ground. Iodine was borrowed from NZ FOODfiles 2014, P58 - Spice, turmeric, ground. Alcohol, vitamins (folic acid, B12, D), caffeine and cholesterol were imputed zero.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
F007870,11166,Analysed,"Salt substitute, potassium chloride","Product sold as a replacement for regular table salt, containing predominantly potassium chloride.","The majority of nutrient data were imputed from non-iodised table salt. Na and K were derived from 3 samples of salt substitutes (Cenovis, Co-Salt and Pressor K) purchased in Sydney in 1984. Ash and vitamin B6 were borrowed from USDA SR28, 02047 - Salt, table. Vitamins (folic acid, alpha-tocopherol, D, B12) and caffeine were imputed zero.",6.25,0.96,0,100%,0%,31301,Salt
F007878,11167,Analysed,"Salt, table, iodised","Fine granules of sodium chloride sold for direct addition to foods, to which iodine has been added in the form of potassium iodate or iodide. May contain free-flowing agents.","The majority of nutrient data were imputed from non-iodised table salt. Minerals (K, Na, P, Mn, Fe, Ca, Cl) were derived from 6 samples of iodised table salt purchased in QLD, VIC and WA in 2004. Ash and vitamin B6 were borrowed from USDA SR28, 02047 - Salt, table. Vitamins (folic acid, alpha-tocopherol, D, B12) and caffeine were imputed zero.",6.25,0.96,0,100%,0%,31301,Salt
F007879,11168,Analysed,"Salt, table, non-iodised",Fine granules of sodium chloride sold for direct addition to foods. May contain free-flowing agents and small amounts of other minerals such as potassium.,"Na and K were derived from 3 samples of table salt (Crown, Pacific and Saxa) purchased in Sydney in 1983. Minerals (I, Se, Mo, Ni, Cr) were derived from 6 samples of table salt purchased in QLD, SA and TAS in 2004. Minerals (Ca, P, Fe) were imputed from iodised table salt. Cl was calculated from the molecular formula after being adjusted for other components. Proximates (moisture, ash) and vitamin B6 were borrowed from USDA SR28, 02047 - Salt, table. Vitamins (folic acid, alpha-tocopherol, D, B12) and caffeine were imputed zero. The remaining values were prepared for AUSNUT 1999.",6.25,0.96,0,100%,0%,31301,Salt
F008933,14734,Analysed,"Stock, dry powder or cube",Concentrated meat stock that is dried and supplied as a powder or compressed into a cube. Contains ingredients such as salt and flavours.,"The majority of nutrient data were derived from a composite of 2 samples of stock cubes (chicken and beef) purchased in Adelaide in 1990. Total nitrogen was reduced by 10% to account for purine nitrogen. B6 and iodine were borrowed from NZ FOODfiles 2014, P16 - Stock, Oxo cubes. Alpha-tocopherol was borrowed from USDA SR28, 06076 - Soup, beef broth, cubed, dry. Tryptophan was imputed from various beef cuts. Proximates (alcohol, fibre), vitamins (B12, C, D, folic acid, retinol), caffeine and cholesterol were imputed zero.",6.25,0.96,0,100%,0%,31303,Stock cubes and seasonings
F009072,15281,Analysed,"Taco seasoning mix, chilli-based","Powdered product intended for addition to meat and other ingredients to prepare Mexican-style dishes such as taco filling. Typical ingredients include salt, sugar, maize starch, spices, chilli and citric acid.","The majority of nutrient data were derived from a composite of 8 samples of taco seasoning mix (4x Old El Paso, 3x Casa Fiesta, 1x Farmland) purchased in Adelaide in January 1996. Iodine was estimated based on product containing 30% non-iodised salt. Alcohol, vitamins (B12, C, D, folic acid, folate, retinol), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",6.25,0.96,0,100%,0%,31303,Stock cubes and seasonings
F000247,13935,Recipe,"Baking powder, dry powder","Fine white powder used to chemically leaven baked goods such as cakes. Composed of 50% cream of tartar, 25% baking soda, and 25% starch.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,31501,Chemical raising agents and cooking ingredients
F000248,14749,Borrowed,"Baking soda (bicarbonate), dry powder",Fine white powder used to chemically leaven baked goods such as cakes.,"The majority of nutrient data were borrowed from USDA SR28, 18372 - Leavening agents, baking soda. Iodine was borrowed from NZ FOODfiles 2014 Version 01, P1 - Baking powder. Alcohol, vitamins (B12, D, folic acid, retinol), fatty acids, cholesterol, tryptophan and caffeine were imputed zero. Note low sum of proximates - data should be used with caution.",6.25,0.8,0,100%,0%,31501,Chemical raising agents and cooking ingredients
F003250,13937,Borrowed,"Cream of tartar, dry powder","Purified, crystallised potassium bitartrate, used as the acid component of some fast acting baking powder mixtures.","The majority of nutrient data were borrowed from the USDA SR28, 18373 - Leavening agents, cream of tartar. Iodine, tryptophan and total trans fatty acids were borrowed from McCance and Widdowson's composition of foods integrated dataset 2015, no. 17-358 - Cream of tartar. Note low sum of proximates which is likely due to unanalysed derivatives of tartaric acid.",6.25,0.8,0,100%,0%,31501,Chemical raising agents and cooking ingredients
F004196,11171,Analysed,"Gelatine, all types","Unflavoured light yellow granular proteinaceous powder. Used to sweeten and thicken soups, sauces and desserts.","The majority of nutrient data were derived from a composite sample of 6 purchases of Davis gelatine purchased in Adelaide in 1990. Alpha-tocopherol, folate and fatty acids were borrowed from USDA SR28, 19177 - Gelatins, dry powder, unsweetened. Proximates (alcohol, fibre), vitamins (B12, C, D, folic acid, retinol), caffeine and cholesterol were imputed zero.",5.55,0.96,0,100%,0%,31502,Gelatine
F004220,11174,Borrowed,"Gluten, from wheat (vital wheat gluten)",Protein rich extract of wheat flour.,"The majority of nutrient data were borrowed from USDA SR28, 48052 - Vital wheat gluten. Iodine and tryptophan were imputed from plain white wheat flour. Alcohol, vitamins (B12, folic acid, D, retinol), caffeine and cholesterol were imputed zero.",5.83,0.72,0,100%,0%,12103,Cereal flours and starches
F008831,14739,Borrowed,"Starch, potato",Fine powder composed of polysaccharides derived from the potato tuber.,"The majority of nutrient data were derived from a composite sample of 3 brands of potato flour (Menora, Lowan and Sungrain) purchased in Adelaide in 1987. Alpha-tocopherol, vitamin B6, folate, Se, tryptophan, ash and fibre were borrowed from USDA SR28, 11413 - Potato flour. Iodine was imputed from peeled potatoes. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and trans fatty acids were imputed zero. Note high sum of proximates - data should be used with caution.",6.25,0.8,0,100%,0%,24102,Potato products
F009351,14810,Borrowed,"Vanilla, artificial or imitation","Solution containing the substance vanillin, used as a flavouring agent.","The majority of nutrient data were borrowed from USDA SR28, 02052 - Vanilla extract, imitation, no alcohol. Iodine was imputed from bottled water. Vitamins (retinol, folic acid, B12, D), caffeine and cholesterol were imputed zero.",6.25,0.8,1,100%,0%,31401,Essences
F009350,14883,Borrowed,Vanilla bean extract,"Alcoholic extract of the vanilla bean (Vanilla plantifolia or V. tahitensis), used as a flavouring agent.","The majority of nutrient data were borrowed from USDA SR28, 02050 - Vanilla extract. Iodine was imputed from bottled water. Vitamins (B12, D, retinol, folic acid), caffeine and cholesterol were imputed zero.",6.25,0.96,0,100%,0%,31401,Essences
F009606,14741,Analysed,"Yeast, dry powder","A cream or pale grey powder with a fine, smooth texture. Active raising agent used domestically to leaven a wide range of breads, cakes and pastries.","The majority of nutrient data were derived from a composite 6 samples of Supercook dry yeast purchased in Adelaide in 1990. The analysed nitrogen value was reduced by 10% to account for purine nitrogen. Folate, alpha-tocopherol, fibre and fatty acids were borrowed from USDA SR28, 18375 - Leavening agents, yeast, baker's, active dry. Iodine was borrowed from NZ FOODfiles 2014, P13 - Yeast, baker's, dried. Alcohol, vitamins (B12, C, D, folic acid, retinol), caffeine and cholesterol were imputed zero. Note low sum of proximates likely due to potential difficulties in the analysis of complex carbohydrates - data should be used with caution.",6.25,0.8,0,100%,0%,31101,Yeast
F000996,24,Analysed,"Beer, high alcohol (5% v/v & above)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using warm temperature fermentation. Greater than or equal to 5% v/v alcohol.","The majority of nutrient data were derived from a composite of 8 samples of Australian bottled beer containing 5% v/v alcohol or greater (James Boags Premium, Matilda Bay Alpha Pale Ale, Coopers Sparkling Ale, Guinness Extra Stout, Cascade Stout, Coopers Extra Stout, Feral Hop Hog India Pale Ale and Little Creatures India Pale Ale) purchased in Vic in 2015. Alcohol was determined by individual analysis of the same samples. Starch and B12 were derived from a composite of 6 samples of Australian beer (2x Coopers Sparkling Ale, 1x Eagle Hawk Refreshing Ale, 1x Red Back and 2x Tooheys Hunter Old Ale) purchased in Adelaide and Canberra in 1990. Vitamins (B5, B6, carotenes, tocopherols, folate) were imputed from full strength beer. Proximates (starch, fibre), vitamins (retinol, D, folic acid), fatty acids, caffeine and cholesterol were imputed zero.",6.25,0.8,1.01,100%,0%,29101,"Beers, > 3.5% alcohol"
F000994,25,Analysed,"Beer, full strength (alcohol 4-4.9% v/v)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using low fermentation temperatures. Alcohol content between 4-4.9% v/v alcohol.","The majority of nutrients were derived from a composite of 8 samples of Australian bottled beer containing between 4-4.9% v/v alcohol (Carlton Draught, Victoria Bitter, Crown Lager, Tooheys Extra Dry, White Rabbit Pale Ale, Swan Draught, Fat Yak and James Boags Draught)  purchased in Victoria in 2015. Alcohol was determined by individual analysis of the same samples. Ni was derived from a composite of 6 samples of regular and light beer purchased in NSW, NT and QLD in 2004. Antimony, Mercury and tin were derived from a composite of 21 samples of beer purchased in all states and territories in 1998.  Starch and B12 were derived from a composite sample of 4 brands of Australian bottled or canned beer labelled as lager, purchased in Adelaide in 1990. Fatty acids, fibre, cholesterol, retinol, caffeine, D and folic acid were imputed zero.",6.25,0.8,1.01,100%,0%,29101,"Beers, > 3.5% alcohol"
F000995,23,Analysed,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), resulting in lower final carbohydrate levels than regular beer.  Alcohol content between 4 - 4.9% v/v alcohol.","The majority of nutrient data were derived from a composite of 8 samples of Australian bottled beer labelled as carbohydrate modified (James Boags Classic Blond, Carlton Dry, Pure Blond, Platinum Blond, Bolt Low Carb Lager, XXXX Summer Bright Lager, Coopers Clear and Hahn Super Dry) purchased in Vic in 2015. Alcohol was determined by individual analysis of the same samples. B12 was derived from 2 brands of Australian bottled beer labelled as being diet beer and/or carbohydrate modified purchased in Adelaide in 1990. Vitamins (B5, B6, carotenes, tocopherols, folate) were imputed from full strength beer. Proximates (starch, fibre), vitamins (D, retinol, folic acid), cholesterol, fatty acids and caffeine were imputed zero.",6.25,0.8,1.01,100%,0%,29101,"Beers, > 3.5% alcohol"
F001006,26,Analysed,"Beer, mid-strength (alcohol 3-3.9% v/v)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as mid strength. Alcohol content between 3-3.9% v/v alcohol.","The majority of nutrient data were derived from a composite of 8 samples of Australian bottled beer containing between 3-3.9% v/v alcohol (1x Carlton Mid, 1x Carlton Cold, 1x Cricketers Arms Journeyman Mid Strength, 1x Coopers Mid Ale, 1x XXXX, 1x Emu Bitter, 1x Kosciuszko Pale Ale and 1x Coopers Pale Ale) purchased in Vic in 2015. Alcohol was determined by individual analysis of the same samples. Vitamins (B5, B6, carotenes, tocopherols, folate) were imputed from full strength beer. Proximates (fibre, starch), vitamins (B12, alpha-tocopherol, retinol, D, folic acid), fatty acids, caffeine and cholesterol were imputed zero.",6.25,0.8,1.01,100%,0%,29102,"Beers, 1.15- 3.5% alcohol, reduced alcohol / light"
F001004,27,Analysed,"Beer, light (alcohol 1-2.9% v/v)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as Light or Lite. Alcohol content between 1- less than 3% v/v alcohol.","The majority of nutrient data were derived from a composite of 7 samples of Australian bottled beer containing between 1-<3% v/v alcohol (Cascade Premium Light, Hahn Premium Light, Clipper Premium Light, Coopers Premium Light, O'Brien Light Lager, James Boags Light, and Fosters Light Ice) purchased in Vic in 2015. Alcohol was determined by individual analysis of the same samples. Vitamins (B5, B6, carotenes, tocopherols, folate) were imputed from full strength beer. Proximates (fibre, starch), vitamins (B12, alpha-tocopherol, retinol, D, folic acid), fatty acids, cholesterol and caffeine were imputed zero.",6.25,0.8,1.01,100%,0%,29102,"Beers, 1.15- 3.5% alcohol, reduced alcohol / light"
F000051,164,Analysed,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)","Includes beverages obtained from the distillation of wine or fermented sugar, cereals or potatoes, or the fermented preparation of grapes or grape products.","The majority of nutrient data were averaged from composite samples of brandy (Hardys and Chatelle Napoleon), whisky (Vat 69 and Seagrams 100 pipers), gin (Gilbey's and Gordons), rum (Bundaberg and Coruba) and vodka (Smirnoff and Finlandia), purchased in Adelaide in December 1989. Vitamin B6 was borrowed from USDA SR28, 14533 - Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof. Vitamins (folate, folic acid, B12, alpha-tocopherol, D), I and caffeine were imputed zero.",6.25,0.8,0.96,100%,0%,29301,Spirits
F000050,165,Imputed,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked","Includes beverages obtained from the distillation of wine or fermented sugar, cereals or potatoes, or the fermented preparation of grapes or grape products, that has been heated until a large proportion of alcohol has evaporated.","The majority of nutrient data were imputed from Alcoholic beverage, spirit, ~40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky). Alcohol was reduced to one third of the content of uncooked brandy, based on the ratio of alcohol in cooked vs uncooked red wine. Moisture was adjusted to account for decrease to alcohol content.",6.25,0.8,0.96,100%,0%,29301,Spirits
F002955,166,Analysed,"Cider, apple (alcohol approximately 4-5% v/v)","Alcoholic beverage prepared from fermented apples with significant residual sugars. Includes cider produced in Australia, New Zealand and Denmark. Approximately 4% alcohol.","The majority of nutrient data were derived from a composite of 8 samples of alcoholic apple cider (1x Strongbow Classic, 1x Strongbow Sweet, 1x Monteith's, 1x Somersby, 1x The Barossa Cider Co., 1x Three Oaks Original, 1x Mercury Cider Draught and 1x 5 Seeds Crisp) purchased in VIC in 2015. Alcohol was determined by individual analysis of the same samples. Retinol, Cl and F were derived from a composite of 10 samples of dry cider (6x Strongbow, 2x Lionheart, 1x Razor Back and 1x Cobbleys) purchased in Adelaide in 1994/95. Proximates (fibre, starch), vitamins (B12, D, folic acid), fatty acids, caffeine and cholesterol were imputed zero.",6.25,0.8,1.01,100%,0%,29401,Cider
F009572,14726,Analysed,"Wine, red, cabernet sauvignon","Alcoholic beverage produced by fermentation of grape juice from the cabernet sauvignon grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia. Approximately 12% v/v alcohol.","Proximates, organic acids and iodine were derived from a composite of 8 samples of Australian bottled red wine made from cabernet sauvignon grapes (Jamiesons Run, Wolf Blass, Rawson's Retreat, Wyndham Estate, Rosemount, Wynns, Jacob's Creek and Ingolby) purchased in Vic in 2015. Alcohol and the remaining minerals were derived from individual analysis of the same samples. Vitamins (B1, B2, B3, B5, B6, tocopherols, carotenes, folate) were imputed from merlot. Proximates (fibre, starch), vitamins (folic acid, B12, D, retinol), fatty acids, cholesterol and caffeine were imputed zero.",6.25,0.8,0.99,100%,0%,29201,"Wines, red (including sparkling varieties and rose styles)"
F009574,14735,Analysed,"Wine, red, merlot","Alcoholic beverage produced by fermentation of grape juice from the merlot grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol.","The majority of nutrient data were derived from a composite of 8 samples of Australian bottled red wine made from merlot grapes (Warburn, Taylors, Brown Brothers, Rawsons Retreat, McGuigan, Riddoch, Grant Burge and Oyster Bay) purchased in VIC in 2015. Alcohol and minerals were derived through individual analysis of the same samples. Proximates (fibre, starch), vitamins (folic acid, B12, D, retinol), fatty acids, cholesterol and caffeine were imputed zero.",6.25,0.8,0.99,100%,0%,29201,"Wines, red (including sparkling varieties and rose styles)"
F009575,95,Analysed,"Wine, red, pinot noir","Alcoholic beverage produced by fermentation of grape juice from the pinot noir grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol.","Proximates, organic acids and iodine were derived from a composite of 8 samples of Australian bottled red wine made from pinot noir grapes (Ninth Island, Stonier, Artemis, Devils Corner, Taylors, Red Hill, Saint Clair and Oyster Bay) purchased in VIC in 2015. Alcohol and the remaining minerals were derived from individual analysis of the same samples. Vitamins (B1, B2, B3, B5, B6, tocopherols, carotenes, folate) were imputed from merlot. Proximates (fibre, starch), vitamins (folic acid, B12, D, retinol), fatty acids, cholesterol and caffeine were imputed zero.",6.25,0.8,0.99,100%,0%,29201,"Wines, red (including sparkling varieties and rose styles)"
F009577,14738,Analysed,"Wine, red, shiraz","Alcoholic beverage produced by fermentation of grape juice from the shiraz grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia only. Approximately 12% v/v alcohol.","Proximates, organic acids and iodine were derived from a composite of 8 samples of Australian bottled red wine made from shiraz grapes (d'Arenberg The Footbolt, De Bortoli, Penfolds, Leasingham, Taylors, Wynns, St Hallet, Jacob's Creek and Angove Nine Vines) purchased in Vic in 2015. Alcohol and the remaining minerals were derived from individual analysis of the same samples. Vitamins (B1, B2, B3, B5, B6, tocopherols, carotenes, folate) were imputed from merlot. Proximates (fibre, starch), vitamins (folic acid, B12, D, retinol), fatty acids, cholesterol and caffeine were imputed zero.",6.25,0.8,0.99,100%,0%,29201,"Wines, red (including sparkling varieties and rose styles)"
F009571,83,Recipe,"Wine, red",Alcoholic beverage produced by fermentation of grape juice with prolonged grape skin contact to produce wine of a deep red colour. Approximately 12% v/v alcohol.,These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0.99,100%,0%,29201,"Wines, red (including sparkling varieties and rose styles)"
F009573,14736,Calculated,"Wine, red, cooked","Alcoholic beverage produced by fermentation of grape juice with prolonged contact with grape skins, that has been heated until the majority of alcohol has evaporated.","The majority of nutrient data were calculated from red wine. Vitamins (folic acid, retinol, B12, D), cholesterol, fatty acids and caffeine were imputed zero.",6.25,0.8,1.01,100%,0%,29201,"Wines, red (including sparkling varieties and rose styles)"
F009578,14740,Imputed,"Wine, red, sparkling","Alcoholic beverage produced by fermentation of grape juice from red wine grapes, retaining significant quantities of dissolved carbon dioxide. Approximately 13% v/v alcohol.","The majority of nutrient data were imputed from shiraz. Data on specific gravity, acidity and sugars content were provided by the Australian wine industry in 2004. Alcohol is based on label data for products available in 2012.",6.25,0.8,1,100%,0%,29201,"Wines, red (including sparkling varieties and rose styles)"
F009579,14742,Analysed,"Wine, rose",Alcoholic beverage produced by fermentation of grape juice so that the wine has a pale pink colour. Includes wine produced in Australia and New Zealand. Approximately 13% v/v alcohol.,"The majority of nutrient data were derived from a composite of 8 samples of Australian bottled rose wine (Jacob's Creek, Lindeman's, Yalumba, Banrock Station, Wirra Wirra, Angove Nine Vines, Charles Melton and Monkey Bay) purchased in VIC in 2015. Alcohol and minerals were derived through individual analysis of the same samples. Proximates (fibre, starch), vitamins (folic acid, B12, D, retinol), fatty acids, cholesterol and caffeine were imputed zero.",6.25,0.8,1,100%,0%,29201,"Wines, red (including sparkling varieties and rose styles)"
F009583,97,Analysed,"Wine, white, sauvignon blanc","Alcoholic beverage produced by fermentation of grape juice from the sauvignon blanc grape, produced with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol.","The majority of nutrient data were derived from a composite of 8 samples of Australian bottled wine made from sauvignon blanc grapes (Giesen, Villa Maria, South Island, Overstone, Yalumba, Evans & Tate, Stoneleigh and Oyster Bay) purchased in VIC in 2015. Alcohol and minerals were derived through individual analysis of the same samples. Proximates (fibre, starch), vitamins (folic acid, B12, D, retinol), fatty acids, cholesterol and caffeine were imputed zero.",6.25,0.8,0.99,100%,0%,29202,"Wines, white (including sparkling varieties)"
