is_cancelled,lead_time,country,company,children,adults,meal,reservation_status_date,booking_changes
1,5,PRT,,0.0,2,BB,2015-07-01,0
0,0,ESP,,0.0,2,BB,2015-07-06,1
0,9,DEU,,0.0,1,BB,2015-07-06,0
0,2,PRT,,0.0,1,BB,2015-07-06,0
0,2,PRT,,0.0,2,BB,2015-07-06,0
0,9,DEU,,0.0,1,BB,2015-07-06,0
1,5,PRT,,0.0,2,BB,2015-07-01,0
0,2,PRT,,0.0,2,BB,2015-07-06,0
0,44,PRT,,0.0,3,HB,2015-07-07,3
0,80,FRA,,0.0,2,BB,2015-07-07,0
0,97,ESP,,0.0,2,BB,2015-07-09,0
0,109,CN,,1.0,2,BB,2015-07-10,0
0,30,ESP,,0.0,2,BB,2015-07-10,0
0,64,PRT,,0.0,2,BB,2015-07-10,0
0,39,ESP,,0.0,2,BB,2015-07-11,0
0,90,PRT,,0.0,2,BB,2015-07-11,0
1,34,PRT,,2.0,2,BB,2015-06-17,0
1,93,PRT,,0.0,2,HB,2015-05-01,0
0,97,PRT,,2.0,2,HB,2015-07-12,1
0,29,IRL,,0.0,2,BB,2015-07-12,0
1,101,PRT,,0.0,2,HB,2015-03-30,0
0,27,ESP,,0.0,2,BB,2015-07-12,0
0,8,CHE,,2.0,2,BB,2015-07-14,1
0,82,PRT,,0.0,2,BB,2015-07-15,0
0,94,PRT,,0.0,3,BB,2015-07-15,3
0,110,GBR,,0.0,2,BB,2015-07-16,0
0,96,GBR,,0.0,1,HB,2015-07-19,0
0,79,GBR,,0.0,2,HB,2015-07-19,0
0,115,PRT,,2.0,2,BB,2015-07-11,1
0,111,PRT,,0.0,2,BB,2015-07-10,0
0,51,USA,,0.0,2,BB,2015-07-10,0
0,94,CN,,0.0,3,BB,2015-07-10,0
0,81,CHE,,2.0,2,HB,2015-07-10,0
0,84,PRT,,0.0,2,BB,2015-07-10,1
0,51,USA,,0.0,3,BB,2015-07-10,0
0,111,PRT,,0.0,2,BB,2015-07-06,0
0,0,PRT,,0.0,1,BB,2015-07-06,0
0,2,PRT,,1.0,2,BB,2015-07-07,0
0,7,PRT,,0.0,2,BB,2015-07-08,0
0,98,USA,,0.0,2,BB,2015-07-08,0
0,95,GRC,,0.0,2,BB,2015-07-09,0
1,48,PRT,,0.0,2,HB,2015-06-03,0
0,66,PRT,,0.0,2,HB,2015-07-10,0
0,104,PRT,,0.0,2,BB,2015-07-10,1
0,28,PRT,,0.0,2,BB,2015-07-11,0
0,34,PRT,,0.0,2,HB,2015-07-11,0
0,98,ESP,,0.0,2,HB,2015-07-12,0
0,104,PRT,,0.0,2,BB,2015-07-12,1
0,68,PRT,,2.0,2,HB,2015-07-13,0
1,86,PRT,,0.0,1,HB,2015-06-26,0
0,258,GBR,,0.0,2,BB,2015-07-13,0
0,111,PRT,,0.0,2,HB,2015-07-14,0
1,94,PRT,,0.0,2,BB,2015-05-14,0
0,112,GBR,,0.0,2,BB,2015-07-16,0
0,100,GBR,,0.0,2,BB,2015-07-16,1
0,33,PRT,,0.0,2,HB,2015-07-16,5
0,97,GBR,,0.0,2,HB,2015-07-16,0
0,80,FRA,,0.0,1,BB,2015-07-17,1
0,90,ITA,,0.0,2,BB,2015-07-20,0
0,111,GBR,,0.0,2,BB,2015-07-20,0
0,65,PRT,,0.0,2,BB,2015-07-13,0
1,67,PRT,,0.0,2,BB,2015-05-07,0
0,55,ESP,,0.0,2,BB,2015-07-10,0
0,21,PRT,,1.0,2,HB,2015-07-10,0
0,8,PRT,,0.0,2,BB,2015-07-07,0
0,8,PRT,,0.0,2,BB,2015-07-07,0
0,0,GBR,,0.0,1,BB,2015-07-08,0
0,0,PRT,,0.0,3,HB,2015-07-08,0
0,0,GBR,,0.0,1,BB,2015-07-08,0
0,8,ESP,,2.0,3,BB,2015-07-11,2
0,66,PRT,,0.0,2,BB,2015-07-11,0
0,88,USA,,0.0,3,HB,2015-07-11,0
0,0,NLD,,0.0,2,BB,2015-07-11,2
1,43,PRT,,0.0,2,HB,2015-05-28,0
1,88,PRT,,0.0,2,HB,2015-04-13,0
0,54,IRL,,0.0,2,BB,2015-07-14,0
1,292,PRT,,0.0,2,BB,2015-03-25,0
0,112,IRL,,0.0,2,HB,2015-07-21,0
0,68,GBR,,0.0,2,BB,2015-07-11,0
0,7,PRT,,0.0,2,BB,2015-07-12,0
0,1,ESP,,0.0,2,BB,2015-07-12,0
1,113,PRT,,0.0,2,BB,2015-05-28,0
0,5,ESP,,0.0,2,BB,2015-07-12,0
0,83,PRT,,0.0,2,BB,2015-07-12,0
1,105,PRT,,0.0,2,BB,2015-06-29,0
0,0,PRT,,0.0,1,BB,2015-07-09,0
1,1,PRT,110.0,0.0,2,BB,2015-07-08,0
1,1,PRT,110.0,0.0,2,BB,2015-07-08,0
0,1,CHE,110.0,0.0,2,BB,2015-07-10,0
1,102,PRT,,0.0,2,BB,2015-05-28,0
0,113,PRT,,0.0,2,BB,2015-07-14,1
1,280,PRT,,1.0,2,HB,2015-04-15,0
0,96,GBR,,0.0,2,BB,2015-07-15,0
0,394,GBR,,0.0,2,HB,2015-07-15,0
0,33,PRT,,0.0,2,HB,2015-07-15,0
0,82,IRL,,0.0,3,BB,2015-07-16,0
0,100,DNK,,0.0,3,BB,2015-07-17,1
0,100,DNK,,0.0,2,BB,2015-07-17,0
0,17,PRT,,2.0,2,BB,2015-07-10,0
0,68,ARG,,0.0,3,BB,2015-07-11,0
0,12,PRT,,2.0,2,BB,2015-07-11,2
1,77,PRT,,0.0,2,BB,2015-06-02,0
1,24,PRT,,2.0,2,BB,2015-06-16,0
1,44,PRT,,2.0,2,BB,2015-06-16,0
0,78,PRT,,0.0,2,BB,2015-07-12,0
1,17,PRT,,0.0,2,BB,2015-06-23,0
1,103,PRT,,0.0,2,BB,2015-06-27,0
0,16,RUS,,0.0,1,BB,2015-07-13,0
0,14,SWE,,0.0,2,BB,2015-07-14,0
0,77,POL,,0.0,2,BB,2015-07-14,0
0,90,FRA,,0.0,2,BB,2015-07-16,0
0,90,GBR,,0.0,2,BB,2015-07-16,0
0,90,GBR,,0.0,2,BB,2015-07-16,0
0,366,GBR,,0.0,2,HB,2015-07-16,0
0,249,PRT,,0.0,2,HB,2015-07-16,0
1,69,PRT,,0.0,2,HB,2015-05-13,0
0,10,USA,,0.0,2,BB,2015-07-11,0
0,22,PRT,,0.0,2,BB,2015-07-12,0
0,91,PRT,,0.0,2,BB,2015-07-12,0
0,23,PRT,,0.0,2,BB,2015-07-12,0
0,11,PRT,,0.0,2,BB,2015-07-12,0
0,3,PRT,,0.0,2,BB,2015-07-12,0
0,13,PRT,,1.0,2,HB,2015-07-12,2
0,108,PRT,,0.0,2,BB,2015-07-12,1
0,91,PRT,,0.0,2,BB,2015-07-12,0
0,37,GBR,,0.0,2,BB,2015-07-13,0
0,21,AUS,,0.0,2,BB,2015-07-13,0
0,106,GBR,,0.0,2,BB,2015-07-13,0
0,30,PRT,,0.0,2,FB,2015-07-14,0
0,30,PRT,,0.0,2,FB,2015-07-14,0
1,51,PRT,,0.0,2,BB,2015-06-29,0
0,79,POL,,0.0,2,BB,2015-07-15,0
0,21,PRT,,0.0,2,HB,2015-07-15,1
0,35,EST,,2.0,2,BB,2015-07-15,0
0,78,PRT,,0.0,2,HB,2015-07-17,1
0,31,PRT,,0.0,2,HB,2015-07-17,1
0,78,PRT,,0.0,2,HB,2015-07-17,1
0,78,PRT,,0.0,2,HB,2015-07-17,1
0,44,RUS,,0.0,1,HB,2015-07-17,2
0,34,GBR,,1.0,2,HB,2015-07-17,0
0,87,PRT,,1.0,2,FB,2015-07-17,0
0,11,PRT,,1.0,3,BB,2015-07-18,0
0,115,IRL,,0.0,2,BB,2015-07-19,0
0,86,PRT,,0.0,2,BB,2015-07-20,0
0,41,GBR,,0.0,2,BB,2015-07-21,0
0,32,DNK,,0.0,2,BB,2015-07-23,0
0,34,GBR,,1.0,2,HB,2015-07-17,0
0,34,GBR,,0.0,2,HB,2015-07-17,0
1,100,PRT,,1.0,2,HB,2015-05-29,0
0,44,ESP,,0.0,2,BB,2015-07-16,0
0,304,PRT,,0.0,2,BB,2015-07-17,1
1,36,PRT,,0.0,2,BB,2015-06-08,0
0,117,PRT,,0.0,3,HB,2015-07-17,0
0,70,ESP,,0.0,2,BB,2015-07-17,0
0,110,PRT,,0.0,2,BB,2015-07-18,0
1,109,PRT,,0.0,2,BB,2015-04-22,0
0,33,GBR,,0.0,2,BB,2015-07-15,0
0,33,PRT,,0.0,2,BB,2015-07-15,0
0,33,CZE,,0.0,2,BB,2015-07-15,1
0,0,GBR,,0.0,1,BB,2015-07-12,0
0,0,DEU,,0.0,2,HB,2015-07-12,1
0,0,ESP,,0.0,2,BB,2015-07-12,0
0,0,ESP,,0.0,2,BB,2015-07-12,0
0,84,PRT,113.0,0.0,2,HB,2015-07-13,0
0,71,ESP,,0.0,2,BB,2015-07-13,0
0,16,ROU,,0.0,2,BB,2015-07-13,0
0,54,PRT,,0.0,2,BB,2015-07-14,0
0,8,ESP,,0.0,2,BB,2015-07-14,0
0,36,PRT,,0.0,2,BB,2015-07-18,0
0,40,PRT,,0.0,2,HB,2015-07-18,0
1,59,PRT,,0.0,2,BB,2015-05-19,0
0,79,PRT,,2.0,2,HB,2015-07-19,1
0,32,PRT,,0.0,2,HB,2015-07-21,1
0,110,PRT,,0.0,2,BB,2015-07-18,0
0,33,PRT,,0.0,2,BB,2015-07-18,0
0,53,CN,,2.0,2,BB,2015-07-13,0
0,2,PRT,,0.0,2,BB,2015-07-13,0
0,8,PRT,,1.0,2,BB,2015-07-18,0
1,72,PRT,,0.0,2,BB,2015-05-12,0
0,12,GBR,,0.0,2,BB,2015-07-19,0
0,48,BRA,,0.0,2,BB,2015-07-19,0
0,90,PRT,,0.0,2,FB,2015-07-12,0
0,34,ESP,,0.0,2,HB,2015-07-19,1
1,58,PRT,,1.0,3,BB,2015-06-29,0
0,59,GBR,,0.0,2,BB,2015-07-19,0
0,90,PRT,,0.0,2,FB,2015-07-19,0
0,116,PRT,,0.0,2,BB,2015-07-19,0
0,31,GBR,,0.0,2,BB,2015-07-19,0
1,51,PRT,,0.0,2,HB,2015-07-03,0
0,48,GBR,,0.0,2,BB,2015-07-19,0
0,59,ESP,,0.0,2,BB,2015-07-19,0
1,97,PRT,,0.0,2,BB,2015-06-19,0
0,12,FRA,,0.0,2,HB,2015-07-21,0
0,64,PRT,,0.0,2,BB,2015-07-21,0
0,31,GBR,,0.0,2,BB,2015-07-23,0
0,59,GBR,,0.0,2,HB,2015-07-23,0
1,55,PRT,,10.0,2,BB,2015-07-12,2
0,81,GBR,,0.0,2,BB,2015-07-19,0
0,1,PRT,,0.0,2,BB,2015-07-13,0
0,34,BEL,,2.0,2,BB,2015-07-14,0
0,13,ESP,,0.0,2,BB,2015-07-14,0
0,40,FRA,,0.0,2,BB,2015-07-14,0
0,1,ESP,,0.0,2,BB,2015-07-14,0
0,34,BEL,,0.0,2,BB,2015-07-14,0
0,88,ITA,,0.0,2,BB,2015-07-15,1
0,9,ESP,,0.0,2,BB,2015-07-15,0
1,24,PRT,,0.0,2,HB,2015-06-22,0
0,97,FRA,,0.0,2,BB,2015-07-16,0
0,60,FIN,,0.0,2,BB,2015-07-16,2
0,100,CN,,2.0,2,BB,2015-07-16,0
0,50,ESP,,0.0,2,BB,2015-07-17,0
1,47,PRT,,0.0,2,BB,2015-07-12,0
0,8,IRL,,2.0,2,BB,2015-07-17,0
0,34,ESP,,0.0,2,HB,2015-07-17,0
0,47,ESP,,0.0,2,BB,2015-07-20,0
0,115,PRT,,0.0,2,HB,2015-07-20,1
1,79,PRT,,0.0,2,BB,2015-05-13,0
0,91,GBR,,0.0,2,BB,2015-07-20,0
0,98,ESP,,0.0,2,BB,2015-07-15,0
0,109,ESP,,0.0,2,BB,2015-07-15,0
0,0,AUS,,0.0,2,BB,2015-07-15,0
0,98,ESP,,0.0,2,BB,2015-07-15,0
0,0,PRT,,0.0,4,BB,2015-07-15,0
0,9,ESP,,0.0,2,HB,2015-07-15,0
0,62,ESP,,0.0,2,BB,2015-07-15,0
1,45,PRT,,0.0,2,BB,2015-06-18,0
0,42,USA,,0.0,2,BB,2015-07-16,0
0,54,PRT,,0.0,2,BB,2015-07-16,0
0,51,ESP,,0.0,2,HB,2015-07-16,0
0,54,PRT,,0.0,2,BB,2015-07-16,0
0,58,ESP,,0.0,2,HB,2015-07-16,2
0,0,PRT,,0.0,1,BB,2015-07-17,0
1,60,PRT,,0.0,2,BB,2015-06-24,0
1,321,PRT,,0.0,2,HB,2015-03-05,0
0,40,ESP,,0.0,2,BB,2015-07-18,0
1,51,PRT,,0.0,2,BB,2015-05-23,0
0,38,PRT,,0.0,2,BB,2015-07-18,0
1,75,PRT,,0.0,2,HB,2015-06-22,0
0,101,PRT,,0.0,2,BB,2015-07-18,0
1,42,PRT,,0.0,2,BB,2015-06-01,0
0,40,ESP,,0.0,2,BB,2015-07-18,0
0,109,PRT,,0.0,3,HB,2015-07-18,0
1,81,PRT,,0.0,2,BB,2015-04-24,0
1,98,PRT,,0.0,2,HB,2015-05-12,0
0,32,PRT,,0.0,1,HB,2015-07-19,2
0,72,FRA,,0.0,2,BB,2015-07-19,0
0,115,PRT,,0.0,2,HB,2015-07-20,0
0,118,PRT,,0.0,2,FB,2015-07-20,0
0,81,ESP,,1.0,2,HB,2015-07-20,0
1,95,PRT,,0.0,2,BB,2015-04-15,0
0,16,ROU,,0.0,2,BB,2015-07-14,0
0,56,ESP,,0.0,2,HB,2015-07-17,1
0,88,FIN,,0.0,2,BB,2015-07-21,0
0,41,GBR,,0.0,2,BB,2015-07-22,0
1,40,PRT,,0.0,2,BB,2015-07-03,0
0,1,PRT,270.0,0.0,1,BB,2015-07-15,0
0,1,PRT,,0.0,2,BB,2015-07-15,2
0,1,PRT,,0.0,2,BB,2015-07-16,1
1,76,PRT,,0.0,2,BB,2015-05-27,0
0,0,ESP,,0.0,2,BB,2015-07-18,0
0,49,POL,,0.0,2,BB,2015-07-19,1
0,76,PRT,,0.0,2,BB,2015-07-19,0
0,73,PRT,,0.0,2,HB,2015-07-20,0
0,73,PRT,,1.0,2,HB,2015-07-20,0
0,317,PRT,,2.0,2,HB,2015-07-20,1
1,112,PRT,,0.0,1,BB,2015-04-06,0
0,6,ESP,,0.0,2,HB,2015-07-21,0
0,8,ESP,,0.0,2,HB,2015-07-21,1
1,96,PRT,,0.0,2,BB,2015-04-11,0
1,96,PRT,,0.0,2,BB,2015-04-11,0
0,99,IRL,,0.0,2,BB,2015-07-23,0
0,66,IRL,,0.0,2,BB,2015-07-25,0
0,38,SWE,,0.0,2,HB,2015-07-28,0
0,38,SWE,,0.0,2,HB,2015-07-28,1
0,113,PRT,,0.0,3,BB,2015-07-29,1
0,0,PRT,,0.0,1,BB,2015-07-15,0
1,62,PRT,,0.0,2,HB,2015-07-03,0
1,39,PRT,,0.0,2,BB,2015-06-27,0
0,37,POL,,0.0,2,HB,2015-07-21,0
1,58,PRT,,0.0,2,BB,2015-06-25,0
0,37,GBR,,2.0,2,BB,2015-07-23,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,83,GBR,,2.0,2,BB,2015-07-24,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,1,FB,2015-07-17,1
1,57,PRT,,0.0,2,FB,2015-07-13,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,3,FB,2015-07-17,1
0,57,PRT,,0.0,1,FB,2015-07-17,1
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,3,FB,2015-07-17,1
0,57,PRT,,0.0,1,FB,2015-07-17,1
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
0,57,PRT,,0.0,2,FB,2015-07-17,0
1,66,PRT,,2.0,2,BB,2015-07-02,0
0,13,DNK,,0.0,2,BB,2015-07-18,0
0,50,FIN,,0.0,2,BB,2015-07-17,0
1,48,PRT,,0.0,1,BB,2015-06-05,0
1,0,PRT,,0.0,2,BB,2015-07-16,0
0,7,USA,,2.0,2,BB,2015-07-17,1
0,0,PRT,,2.0,2,BB,2015-07-18,1
1,66,PRT,,0.0,2,BB,2015-07-02,0
0,13,PRT,,1.0,2,BB,2015-07-18,0
0,66,DNK,,0.0,2,BB,2015-07-18,0
0,10,ESP,,0.0,2,BB,2015-07-19,0
1,10,PRT,,0.0,2,BB,2015-07-13,0
1,58,PRT,,0.0,2,HB,2015-06-19,0
1,17,PRT,,0.0,2,HB,2015-06-30,0
0,19,ESP,,0.0,2,BB,2015-07-19,0
0,10,IRL,,0.0,2,BB,2015-07-21,0
1,12,PRT,178.0,0.0,2,BB,2015-07-07,0
0,10,IRL,,0.0,1,BB,2015-07-21,1
0,63,PRT,,0.0,2,BB,2015-07-20,0
1,35,PRT,,0.0,2,BB,2015-06-13,0
0,113,PRT,,0.0,2,HB,2015-07-22,0
1,35,PRT,,0.0,2,BB,2015-06-11,0
0,68,GBR,,0.0,2,HB,2015-07-23,0
0,113,PRT,,0.0,2,BB,2015-07-24,1
0,21,PRT,,0.0,1,HB,2015-07-30,1
0,6,PRT,,0.0,2,BB,2015-07-17,0
0,7,PRT,,0.0,2,BB,2015-07-19,0
0,17,PRT,,0.0,2,BB,2015-07-19,0
0,1,PRT,,0.0,2,BB,2015-07-19,0
0,2,PRT,,0.0,2,BB,2015-07-19,0
1,15,PRT,,0.0,2,BB,2015-07-06,0
1,7,PRT,,0.0,2,BB,2015-07-13,0
0,11,ESP,,0.0,2,BB,2015-07-19,0
1,6,PRT,,0.0,2,BB,2015-07-17,0
0,1,PRT,,0.0,2,BB,2015-07-19,0
0,1,ESP,,0.0,2,BB,2015-07-19,0
0,48,PRT,,0.0,2,BB,2015-07-19,0
0,15,PRT,,0.0,2,BB,2015-07-19,0
1,3,PRT,,0.0,1,BB,2015-07-17,0
1,23,PRT,,0.0,2,BB,2015-07-04,0
0,53,PRT,,0.0,2,BB,2015-07-22,0
0,53,PRT,,1.0,2,BB,2015-07-22,0
0,94,ESP,,0.0,2,BB,2015-07-22,0
0,64,PRT,,0.0,1,BB,2015-07-22,0
0,53,PRT,,0.0,2,BB,2015-07-22,0
0,53,PRT,,0.0,1,BB,2015-07-22,0
0,64,PRT,,0.0,1,BB,2015-07-22,0
0,53,PRT,,0.0,2,BB,2015-07-22,0
0,24,PRT,,1.0,3,BB,2015-07-22,1
0,24,PRT,,0.0,2,BB,2015-07-23,0
0,23,ESP,,2.0,2,BB,2015-07-24,0
0,53,IRL,,0.0,2,BB,2015-07-24,1
1,23,PRT,,2.0,2,BB,2015-06-24,0
0,90,PRT,,0.0,2,HB,2015-07-24,1
0,79,PRT,,0.0,2,BB,2015-07-24,0
0,43,GBR,,0.0,2,BB,2015-07-24,0
0,90,PRT,,0.0,2,HB,2015-07-24,1
0,65,ESP,,0.0,2,HB,2015-07-25,0
0,65,ESP,,0.0,2,HB,2015-07-25,0
0,99,FRA,,0.0,3,BB,2015-07-25,0
0,25,ESP,,0.0,2,HB,2015-07-27,1
0,92,MOZ,,0.0,2,BB,2015-07-20,3
0,91,BWA,,1.0,2,BB,2015-07-20,3
0,38,PRT,,1.0,2,HB,2015-07-20,1
0,6,GBR,,0.0,2,BB,2015-07-20,0
0,38,ESP,,0.0,2,BB,2015-07-20,0
0,13,DEU,,0.0,2,BB,2015-07-20,0
1,32,PRT,,0.0,2,BB,2015-06-24,0
0,315,IRL,,0.0,2,BB,2015-07-20,0
0,8,GBR,,0.0,2,BB,2015-07-20,0
1,0,PRT,,0.0,2,BB,2015-07-17,0
0,91,MOZ,,1.0,2,BB,2015-07-20,4
0,3,ESP,,0.0,2,BB,2015-07-20,0
0,9,PRT,,0.0,3,BB,2015-07-21,0
0,19,ESP,,0.0,2,BB,2015-07-21,0
0,25,PRT,,0.0,2,BB,2015-07-24,0
0,108,LUX,,1.0,2,HB,2015-07-24,1
1,37,PRT,,2.0,2,HB,2015-07-18,0
0,45,PRT,,0.0,2,HB,2015-07-25,0
0,64,PRT,,0.0,2,BB,2015-07-25,0
0,44,PRT,,0.0,2,BB,2015-07-22,1
